1432680128.826264;clickEvent
1432680128.990126;clickEvent
1432680129.1662;clickEvent
1432680129.368957;clickEvent
1432680129.557122;clickEvent
1432680129.769007;clickEvent
1432680129.949325;clickEvent
1432680130.140825;clickEvent
1432680130.392631;clickEvent
1432680130.93097;clickEvent
1432680131.097137;clickEvent
1432680131.319225;clickEvent
1432680131.497971;clickEvent
1432680131.679269;clickEvent
1432680131.876711;clickEvent
1432680132.04838;clickEvent
1432680132.228304;clickEvent
1432680132.417047;clickEvent
1432680132.590131;clickEvent
1432680132.76879;clickEvent
1432680132.967314;clickEvent
1432680133.139609;clickEvent
1432680133.314406;clickEvent
1432680133.501563;clickEvent
1432680133.690009;clickEvent
1432680133.885439;clickEvent
1432680134.066074;clickEvent
1432680134.242;clickEvent
1432680134.427888;clickEvent
1432680134.592965;clickEvent
1432680134.766214;clickEvent
1432680134.960761;clickEvent
1432680135.133643;clickEvent
1432680135.300109;clickEvent
1432680135.511607;clickEvent
1432680135.692554;clickEvent
1432680135.871997;clickEvent
1432680136.046546;clickEvent
1432680136.218749;clickEvent
1432680136.399402;clickEvent
1432680136.576977;clickEvent
1432680136.760132;clickEvent
