1432679960.354086;keyPressEvent
1432679962.984733;keyPressEvent
1432679963.201008;keyPressEvent
1432679963.416558;keyPressEvent
1432679963.608674;keyPressEvent
1432679963.849041;keyPressEvent
1432679964.032604;keyPressEvent
1432679964.288328;keyPressEvent
1432679964.472387;keyPressEvent
1432679964.737146;keyPressEvent
1432679964.944685;keyPressEvent
1432679965.18439;keyPressEvent
1432679965.377015;keyPressEvent
1432679965.617107;keyPressEvent
1432679965.801197;keyPressEvent
1432679966.040385;keyPressEvent
1432679966.240442;keyPressEvent
1432679966.49657;keyPressEvent
1432679966.696665;keyPressEvent
1432679967.15228;keyPressEvent
1432679967.720493;keyPressEvent
1432679967.976384;keyPressEvent
1432679968.312875;keyPressEvent
1432679968.600986;keyPressEvent
1432679968.840671;keyPressEvent
1432679969.104629;keyPressEvent
1432679969.312404;keyPressEvent
1432679969.608817;keyPressEvent
1432679970.280897;keyPressEvent
1432679970.872899;keyPressEvent
1432679971.040367;keyPressEvent
1432679971.265232;keyPressEvent
1432679971.520877;keyPressEvent
1432679971.697067;keyPressEvent
1432679971.936512;keyPressEvent
1432679972.160693;keyPressEvent
1432679972.352081;keyPressEvent
1432679972.576642;keyPressEvent
1432679972.768096;keyPressEvent
1432679973.088178;keyPressEvent
1432679973.376647;keyPressEvent
1432679973.752597;keyPressEvent
1432679974.160844;keyPressEvent
1432679974.344925;keyPressEvent
1432679974.704259;keyPressEvent
1432679974.720386;keyPressEvent
1432679975.248389;keyPressEvent
1432679975.496362;keyPressEvent
1432679975.984513;keyPressEvent
1432679976.424583;keyPressEvent
1432679976.688896;keyPressEvent
1432679977.336156;keyPressEvent
1432679977.80837;keyPressEvent
1432679978.088529;keyPressEvent
